customer_id,activity_date,signup_date,platform,region,segment
6,2026-06-01,2026-05-01,web,APAC,free
9,2026-06-01,2026-02-03,web,US,free
13,2026-06-01,2025-11-14,mobile,APAC,free
22,2026-06-01,2025-12-08,web,EU,enterprise
38,2026-06-01,2025-11-30,mobile,APAC,enterprise
41,2026-06-01,2025-12-29,desktop,EU,free
44,2026-06-01,2025-12-15,desktop,US,enterprise
51,2026-06-01,2025-12-29,web,EU,free
52,2026-06-01,2025-12-07,web,EU,pro
53,2026-06-01,2026-01-18,mobile,EU,pro
59,2026-06-01,2025-12-13,mobile,EU,free
6,2026-06-02,2026-05-01,web,APAC,free
8,2026-06-02,2026-02-05,web,EU,enterprise
20,2026-06-02,2026-04-18,mobile,EU,pro
23,2026-06-02,2025-12-26,desktop,US,free
33,2026-06-02,2026-01-06,web,US,free
34,2026-06-02,2026-02-24,web,APAC,enterprise
43,2026-06-02,2025-12-18,mobile,APAC,free
46,2026-06-02,2026-01-10,web,APAC,pro
50,2026-06-02,2026-02-07,web,EU,enterprise
3,2026-06-03,2026-04-09,web,US,free
17,2026-06-03,2025-11-18,mobile,APAC,enterprise
21,2026-06-03,2026-01-20,web,EU,pro
32,2026-06-03,2025-11-19,mobile,APAC,pro
36,2026-06-03,2025-12-24,desktop,US,pro
38,2026-06-03,2025-11-30,mobile,APAC,enterprise
42,2026-06-03,2026-03-31,mobile,APAC,pro
44,2026-06-03,2025-12-15,desktop,US,enterprise
49,2026-06-03,2025-11-22,mobile,EU,free
51,2026-06-03,2025-12-29,web,EU,free
53,2026-06-03,2026-01-18,mobile,EU,pro
54,2026-06-03,2026-02-01,web,EU,pro
55,2026-06-03,2026-04-19,mobile,US,enterprise
56,2026-06-03,2026-01-19,mobile,APAC,free
58,2026-06-03,2026-02-20,mobile,EU,free
59,2026-06-03,2025-12-13,mobile,EU,free
2,2026-06-04,2025-12-14,web,APAC,free
4,2026-06-04,2025-12-10,web,APAC,pro
9,2026-06-04,2026-02-03,web,US,free
10,2026-06-04,2025-12-16,mobile,EU,pro
11,2026-06-04,2026-02-16,web,US,free
12,2026-06-04,2026-01-30,mobile,APAC,enterprise
13,2026-06-04,2025-11-14,mobile,APAC,free
16,2026-06-04,2026-03-10,mobile,EU,free
17,2026-06-04,2025-11-18,mobile,APAC,enterprise
18,2026-06-04,2026-03-01,web,APAC,free
22,2026-06-04,2025-12-08,web,EU,enterprise
32,2026-06-04,2025-11-19,mobile,APAC,pro
33,2026-06-04,2026-01-06,web,US,free
38,2026-06-04,2025-11-30,mobile,APAC,enterprise
41,2026-06-04,2025-12-29,desktop,EU,free
44,2026-06-04,2025-12-15,desktop,US,enterprise
47,2026-06-04,2026-03-06,desktop,US,free
48,2026-06-04,2026-03-05,web,EU,pro
50,2026-06-04,2026-02-07,web,EU,enterprise
54,2026-06-04,2026-02-01,web,EU,pro
57,2026-06-04,2026-03-15,mobile,EU,free
58,2026-06-04,2026-02-20,mobile,EU,free
2,2026-06-05,2025-12-14,web,APAC,free
3,2026-06-05,2026-04-09,web,US,free
6,2026-06-05,2026-05-01,web,APAC,free
9,2026-06-05,2026-02-03,web,US,free
13,2026-06-05,2025-11-14,mobile,APAC,free
23,2026-06-05,2025-12-26,desktop,US,free
24,2026-06-05,2026-02-24,web,APAC,free
26,2026-06-05,2026-01-20,mobile,US,enterprise
30,2026-06-05,2025-12-12,web,US,pro
45,2026-06-05,2026-02-12,mobile,APAC,free
50,2026-06-05,2026-02-07,web,EU,enterprise
57,2026-06-05,2026-03-15,mobile,EU,free
60,2026-06-05,2026-04-29,web,APAC,enterprise
3,2026-06-06,2026-04-09,web,US,free
5,2026-06-06,2026-01-15,web,APAC,pro
11,2026-06-06,2026-02-16,web,US,free
14,2026-06-06,2026-03-04,web,US,enterprise
15,2026-06-06,2025-11-21,desktop,US,free
19,2026-06-06,2025-11-20,web,US,free
20,2026-06-06,2026-04-18,mobile,EU,pro
23,2026-06-06,2025-12-26,desktop,US,free
32,2026-06-06,2025-11-19,mobile,APAC,pro
33,2026-06-06,2026-01-06,web,US,free
39,2026-06-06,2026-01-30,web,EU,free
42,2026-06-06,2026-03-31,mobile,APAC,pro
43,2026-06-06,2025-12-18,mobile,APAC,free
49,2026-06-06,2025-11-22,mobile,EU,free
54,2026-06-06,2026-02-01,web,EU,pro
55,2026-06-06,2026-04-19,mobile,US,enterprise
56,2026-06-06,2026-01-19,mobile,APAC,free
59,2026-06-06,2025-12-13,mobile,EU,free
60,2026-06-06,2026-04-29,web,APAC,enterprise
2,2026-06-07,2025-12-14,web,APAC,free
16,2026-06-07,2026-03-10,mobile,EU,free
19,2026-06-07,2025-11-20,web,US,free
21,2026-06-07,2026-01-20,web,EU,pro
25,2026-06-07,2026-02-24,web,APAC,pro
29,2026-06-07,2026-01-24,mobile,US,pro
30,2026-06-07,2025-12-12,web,US,pro
43,2026-06-07,2025-12-18,mobile,APAC,free
56,2026-06-07,2026-01-19,mobile,APAC,free
57,2026-06-07,2026-03-15,mobile,EU,free
60,2026-06-07,2026-04-29,web,APAC,enterprise
2,2026-06-08,2025-12-14,web,APAC,free
28,2026-06-08,2026-03-23,mobile,EU,free
34,2026-06-08,2026-02-24,web,APAC,enterprise
38,2026-06-08,2025-11-30,mobile,APAC,enterprise
41,2026-06-08,2025-12-29,desktop,EU,free
46,2026-06-08,2026-01-10,web,APAC,pro
47,2026-06-08,2026-03-06,desktop,US,free
